#CODE	ENGLISH	ENGLISH
EVTOPTC91355	Maybe I can appeal to [From.GetHerHis] greedy side...	Maybe I can appeal to [From.GetHerHis] greedy side...
EVTOPTD91355	[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.	[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.
EVTOPTE91355	Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.	Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.
EVTDESC91372	My agents have brought me a message from [From.GetTitledFirstName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHeCap] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [From.GetHerHis] decadence.	My agents have brought me a message from [From.GetName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHe] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [FromGetHerHis] decadence.
EVTOPTA91372	I could surely use such a eunuch!	I could surely use such a eunuch!
EVTDESC91373	[From.GetTitledFirstName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHeCap] also offered to make a religious donation in my name as a gesture of friendship.	[From.GetName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHe] also offered to make a religious donation in my name as a gesture of friendship.
EVTOPTA91373	Such a donation would surely please [From.Religion.GetRandomGodName].	Such a donation would surely please [From.Religion.GetRandomGodName].
EVTDESC91374	[From.GetTitledFirstName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetTitledFirstName] insists that [From.GetSheHe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetTitledFirstName] now seems to be very different from what I had heard.	[From.GetName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetName] insists that [From.GetHeShe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetName] now seems to be very different from what I had heard.
EVTOPTA91374	I have fallen in love!	I have fallen in love!
EVTOPTB91374	This is clearly just an act!	This is clearly just an act!
EVTDESC91375	My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetTitledFirstName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.	My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.
EVTOPTA91375	Everything for you, my love.	Everything for you, my love.
EVTDESC91376	My spouse came to me with shocking news. Apparently [FromFrom.GetTitledFirstName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.	My spouse came to me with shocking news. Apparently [FromFrom.GetName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.
EVTDESC7950	It became clear to me when hearing about [Root.PlotTarget.GetTitledName]'s decadent ways that the right place to kill [Root.PlotTarget.GetTitledFirstName] is in [Root.PlotTarget.GetHerHis] own palace...	It became clear to me when hearing about [Root.PlotTarget.GetTitledName]'s decadent ways that the right place to kill [Root.PlotTarget.GetName] is in [Root.PlotTarget.HerHis] own palace...
EVTOPTA7950	My co-conspirators will bribe [Root.PlotTarget.GetHerHis] servants to aid us.	My co-conspirators will bribe [Root.PlotTarget.GetHerHis] servants to aid us.
EVTOPTB7950	I will bribe [Root.PlotTarget.GetHerHis] servants to assist us.	I will bribe [Root.PlotTarget.GetHerHis] servants to assist us.
EVTOPTC7950	I will replace [Root.PlotTarget.GetHerHis] servants with my own.	I will replace [Root.PlotTarget.GetHerHis] servants with my own.
EVTDESC7951	All of a sudden, I realized that such decadent fools surely are the most vulnerable in their own palace.	All of a sudden, I realized that such decadent fools surely are the most vulnerable in their own palace.
EVTDESC7953	[From.GetTitledName] has sent me the necessary funds to bribe [From.PlotTarget.GetTitledName]'s servants to join our cause.	[From.GetTitledName] has sent me the necessary funds to bribe [From.PlotTarget.GetTitledName]'s servants to join our cause.
EVTDESC7954	[From.GetTitledName] has refused to give me the necessary funds for bribes to have [From.PlotTarget.GetTitledName] killed in his own palace.	[From.GetTitledName] has refused to give me the necessary funds for bribes to have [From.PlotTarget.GetTitledName] killed in his own palace.
EVTDESC7955	How wonderful it is to just sit at home and enjoy the 'simple' things in life. Servants, more wine please! More food too for that matter!	How wonderful it is to just sit at home and enjoy the 'simple' things in life. Servants, more wine please! More food too for that matter!
EVTTOOLTIP7955	[This.GetTitledName] will no longer be a stain on my dynasty!	[This.GetTitledName] will no longer be a stain on my dynasty!
EVTOPTA7955	That's right, do hurry!	That's right, do hurry!
EVTOPTB7955	Why is my servant running towards me?	Why is my servant running towards me?
EVTDESC7956	A hidden dagger held by my own servant, is this really how I must die? [Root.Religion.GetRandomGodName] forgive me, for I have sinned...	A hidden dagger held by my own servant, is this really how I must die? [Root.Religion.GetRandomGodName] forgive me, for I have sinned...
EVTOPTA7956	Death to [FromFrom.GetTitledFirstName]!	Death to [FromFrom.GetTitledFirstName]!
EVTOPTA7957	Why? Who? [Root.Religion.GetRandomGodName]...	Why? Who? [Root.Religion.GetRandomGodName]...
EVTDESC7958	I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. Before she was taken care of, she uttered the name of the one behind the plan.	I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. Before she was taken care of, she uttered the name of the one behind the plan.
EVTOPTA7958	Damn you, [FromFrom.GetTitledFirstName]!	Damn you, [FromFrom.GetTitledFirstName]!
EVTDESC7959	I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. She has been taken care of now, but I fear she was only a pawn. Who was behind this plan?	I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. She has been taken care of now, but I fear she was only a pawn. Who was behind this plan?
EVTOPTA7959	I fear I shall never know.	I fear I shall never know.
EVTDESC7960	My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will die in [Root.PlotTarget.GetHerHis] own palace, with a dagger taken to [Root.PlotTarget.GetHerHis] throat by [Root.PlotTarget.GetHerHis] own servants.	My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will die in [Root.PlotTarget.GetHerHis] own palace, with a dagger taken to [Root.PlotTarget.GetHerHis] throat by [Root.PlotTarget.GetHerHis] own servants.
EVTOPTA7960	This is what decadence brings you!	This is what decadence brings you!
EVTDESC7961	[From.GetTitledName] approves of my idea to have [From.PlotTarget.GetTitledName] killed by [From.PlotTarget.GetHerHis] own servants. [Root.Religion.GetRandomGodName] will surely forgive me due to [From.PlotTarget.GetTitledFirstName]'s decadent ways.	[From.GetTitledName] approves of my idea to have [From.PlotTarget.GetTitledName] killed by [From.PlotTarget.GetHerHis] own servants. [Root.Religion.GetRandomGodName] will surely forgive me due to [From.PlotTarget.GetName]'s decadent ways.
EVTDESC7962	[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. Several of [From.PlotTarget.GetHerHis] servants are loyal to our cause and we will be ready to strike in one month's time.	[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. Several of [From.PlotTarget.GetHerHis] servants are loyal to our cause and we will be ready to strike in one month's time.
EVTDESC7963	Success! [From.GetTitledName] died. Unfortunately, my complicity was discovered.	Success! [From.GetTitledName] died. Unfortunately, my complicity was discovered.
EVTOPTA7963	Good. But... bad.	Good. But... bad.
EVTDESC7964	Success! [From.GetTitledName] died not knowing the name of [From.GetPossPronoun] killer. The bribed servants have been taken care of and will not speak of what happened this day.	Success! [From.GetTitledName] died not knowing the name of [From.GetPossPronoun] killer. The bribed servants have been taken care of and will not speak of what happened this day.
EVTOPTA7964	I shall celebrate this... modestly.	I shall celebrate this... modestly.
EVTDESC7965	Failure! [From.GetTitledName] overheard our servants talking and uncovered our plot to kill [From.GetHerHim].	Failure! [From.GetTitledName] overheard our servants talking and uncovered our plot to kill [From.GetHerHim].
EVTOPTA7965	This is bad.	This is bad.
EVTDESC7966	Failure! [From.GetTitledName] realized something was off and had the servants taken away. However, he was unable to uncover our plot.	Failure! [From.GetTitledName] realized something was off and had the servants taken away. However, he was unable to uncover our plot.
title_appointed_regent	Designated Regent	Designated Regent
title_appointed_regent_desc	This character will become the Regent if one is needed.	This character will become the Regent if one is needed.
INTERACTION_REQ_REC_IS_DJ_LIEGE_OR_ADJ	§Y[Recipient.GetTitledFirstName]§! must be a neighbor or the De Jure liege of my Capital	[Recipient.GetBestName] must be a neighbor or the De Jure liege of my Capital.
WELCOME_TEXT	In the game, you can play as any medieval ruler at any point in time, from a lowly count to a great emperor. When your character dies, you will need an heir to take over, and so on, down the ages. Unlike most other games, the starting situation is historical - and thus completely unbalanced. Check the estimated difficulty of a ruler before you start playing!	In the game, you can play as any medieval ruler at any point in time, from a lowly count to a great emperor. When your character dies, you will need an heir to take over, and so on, down the ages. Unlike most other games, the starting situation is historical - and thus completely unbalanced. Check the estimated difficulty of a ruler before you start playing!
tribal_duke	High Chief	High Chief
tribal_duke_female	High Chieftess	High Chieftess
tribal_duchy_of	High Chiefdom of	High Chiefdom of
tribal_duchy_of_norse	Jarldom of	Jarldom of
tribal_count_west_african	Farin	Farin
tribal_count_female_west_african	Farina	Farina
tribal_county_of_west_african	Sheikhdom of	Sheikhdom of
tribal_county_west_african	Sheikhdom	Sheikhdom
tribal_duke_west_african	Farbas	Farbas
tribal_duke_female_west_african	Farba	Farba
tribal_duchy_of_west_african	Emirate of	Emirate of
tribal_duchy_west_african	Emirate	Emirate
tribal_king_west_african	Mansa	Mansa
tribal_king_female_west_african	Sultana	Sultana
tribal_kingdom_of_west_african	Sultanate of	Sultanate of
tribal_kingdom_west_african	Sultanate	Sultanate
tribal_baron_mongol	Taishi	Taishi
tribal_barony_of_mongol	Taishi of	Taishi of
EVTDESC_CM_11	The people in the county of [Root.GetName] have assimilated new customs from afar, blending them with old Slavic traditions. They have also taken to calling themselves 'Rus' or 'Russians'.	The people in the province of [Root.GetName] have assimilated new customs from afar, blending them with old Slavic traditions. They have also taken to calling themselves 'Rus' or 'Russians'.
EVTOPTA_CM_11	New, but still recognizable.	New, but still recognizable.
convert_to_russian	Embrace Russian Culture	Embrace Russian Culture
convert_to_russian_desc	Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...	Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...
EVTDESC_CM_2102	You grow weary of spending so much time in your castle, performing tedious duties of government and diplomacy. Meanwhile, [From.GetTitledFirstName] keeps telling you of all the interesting adventures he experiences in your service. But perhaps you could join him next time he rides out...	You grow weary of spending so much time in your castle, performing tedious duties of government and diplomacy. Meanwhile, [From.GetTitledFirstName] keeps telling you of all the interesting adventures he experiences in your service. But perhaps you could join him next time he rides out...
EVTOPTA_CM_2102	Yes, I think I will!	Yes, I think I will!
EVTOPTB_CM_2102	No, I must tend to my duties as [Root.GetTitle].	No, I must tend to my duties as [Root.GetTitle].
EVTDESC_CM_2104	You ride out one fine morning in the company of [From.GetTitledFirstNameWithNick], taking no escort and wearing practical rather than regal attire. This will be a good break from the monotony of your court. You catch [From.GetTitledFirstName] giving you a sceptical look, but you are sure this will be a fine journey.	You ride out one fine morning in the company of [From.GetTitledFirstNameWithNick], taking no escort and wearing practical rather than regal attire. This will be a good break from the monotony of your court. You catch [From.GetTitledFirstName] giving you a sceptical look, but you are sure this will be a fine journey.
EVTOPTA_CM_2104	What could possibly go wrong?	What could possibly go wrong?
d_yatviags	Yatvingia	Yatvingia
d_pechenegs	Pecheneg	Pecheneg
e_seljuk_turks	Seljuk Empire	Seljuk Empire
action_settle_tribe	Settle Tribe	Settle Tribe
action_settle_tribe_desc	Assign your [GetTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.	Assign your [GetTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.
EVTNAME925	Tribe Settled	Tribe Settled
EVTDESC925	My efforts to settle our tribe in [Root.Location.GetName] have met with success! My liege will be pleased!	My efforts to settle our tribe in [Root.Location.GetName] have met with success! My liege will be pleased!
EVTOPTA925	[Root.Liege.Culture.GetName] ways are superior.	[Root.Liege.Culture.GetName] ways are superior.
EVTDESC20205	My [Root.GetTreasurerName], [From.GetTitledFirstName], is pleased to report that [From.Location.GetName] has been settled with many good [Root.Culture.GetName] families. The locals, though initially resistant, have started to adopt our language and customs!	My [Root.GetTreasurerName], [From.GetTitledFirstName], is pleased to report that [From.Location.GetName] has been settled with many good [Root.Culture.GetName] families. The locals, though initially resistant, have started to adopt our language and customs!
EVTOPTA20205	[From.GetFirstName] is always reliable.	[From.GetFirstName] is always reliable.
EVTNAME20206	[Root.GetTreasurerName] Wounded	[Root.GetTreasurerName] Wounded
EVTDESC20206	The locals in [Root.Location.GetName], angered by the increasing numbers of [Root.Liege.Culture.GetName] settlers, stormed my house and almost killed me! I took a wound in the shoulder fighting for my life!	The locals in [Root.Location.GetName], angered by the increasing numbers of [Root.Liege.Culture.GetName] settlers, stormed my house and almost killed me! I took a wound in the shoulder fighting for my life!
EVTOPTA20206	I can't say I blame them...	I can't say I blame them...
EVTDESC20207	My [Root.GetTreasurerName], [From.GetTitledFirstName], has been stabbed and wounded by the locals in [From.Location.GetName], who are fiercely resisting our settlers.	My [Root.GetTreasurerName], [From.GetTitledFirstName], has been stabbed and wounded by the locals in [From.Location.GetName], who are fiercely resisting our settlers.
EVTOPTA20207	Such is to be expected...	Such is to be expected...
action_build_legend	Build Legend	Build Legend
#action_build_legend_desc	Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors.	Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors.
EVTNAME20208	Warriors Raised	Warriors Raised
EVTDESC20208	My efforts at building the legend of [Root.Liege.GetTitledFirstName] have met with great success. Bands of warriors has converged at [Root.Location.Capital.GetName] lusting for plunder and glory!	My efforts at building the legend of [Root.Liege.GetTitledFirstName] have met with great success. Bands of warriors has converged at [Root.Location.Capital.GetName] lusting for plunder and glory!
EVTOPTA20208	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!
EVTDESC20209	My [Root.GetTreasurerName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at praising my name and deeds have met with great success! A small army of warriors have converged at [Root.Capital.Capital.GetName] ready to serve me. I just need to make sure they have someone to fight - within a year - lest they become... troublesome.	My [Root.GetTreasurerName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at praising my name and deeds have met with great success! A small army of warriors have converged at [Root.Capital.Capital.GetName] ready to serve me. I just need to make sure they have someone to fight - within a year - lest they become... troublesome.
EVTOPTA20209	Splendid!	Splendid!
EVTDESC20217	The warriors my [Root.GetTreasurerName] raised to fight for my glory have become disillusioned by my effeminate pacifism and have gone home in disgust, causing me a great loss of face.	The warriors my [Root.GetTreasurerName] raised to fight for my glory have become disillusioned by my effeminate pacifism and have gone home in disgust, causing me a great loss of face.
EVTOPTA20217	Curse them!	Curse them!
action_build_zeal	Build Zeal	Build Zeal
#action_build_zeal_desc	Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors.	Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors.
EVTNAME20218	Zealots Raised	Zealots Raised
EVTDESC20218	I have managed to whip up the religious fervor in [Root.Location.GetName] to a frenzy. Zealous warriors have gathered in the name of [Root.Liege.Religion.GetRandomGodName] to bring ruin to the infidels!	I have managed to whip up the religious fervor in [Root.Location.GetName] to a frenzy. Zealous warriors have gathered in the name of [Root.Liege.Religion.GetRandomGodName] to bring ruin to the infidels!
EVTOPTA20218	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!
EVTDESC20219	My [Root.GetLordSpiritualName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at increasing religious fervor among the people have met with great success! A small army of zealots have converged at [Root.Capital.Capital.GetName] ready to serve me. Now I simply need to attack some suitable infidel before my new recruits wander off in disgust.	My [Root.GetTreasurerName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at increasing religious fervor among the people have met with great success! A small army of zealots have converged at [Root.Capital.Capital.GetName] ready to serve me. Now I simply need to attack some suitable infidel before my new recruits wander off in disgust.
EVTOPTA20219	Praise [Root.Religion.GetRandomGodName]!	Praise [Root.Religion.GetRandomGodName]!
EVTDESC20220	The holy warriors my [Root.GetLordSpiritualName] attracted to fight for [Root.Religion.GetRandomGodName] have become disillusioned by my ungodly refusal to fight a Holy War and wandered off, damaging my Piety greatly.	The holy warriors my [Root.GetLordSpiritualName] attracted to fight for [Root.Religion.GetRandomGodName] have become disillusioned by my ungodly refusal to fight a Holy War and wandered off, damaging my Piety greatly.
EVTOPTA20220	Whatever happened to Patience!?	Whatever happened to Patience!?
action_organize_raid	Organize Raid	Organize Raid
#action_organize_raid_desc	Have your [GetMarshalName] gather men for a great raid, for plunder and glory!	Have your [GetMarshalName] gather men for a great raid, for plunder and glory!
EVTNAME20221	Raid Organized	Raid Organized
EVTDESC20221	With enticing words of riches beyond measure, I have gathered up a mighty host in [Root.Location.GetName]. These men do not like to sit idle though...	With enticing words of riches beyond measure, I have gathered up a mighty host in [Root.Location.GetName]. These men do not like to sit idle though...
EVTOPTA20221	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!	My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!
EVTDESC20222	My [Root.GetMarshalName], [From.GetTitledFirstName], has gathered up a great host of raiders, lusting for plunder and wanton destruction. I must use these men and not allow them to sit idle for too long!	My [Root.GetMarshalName], [From.GetTitledFirstName], has gathered up a great host of raiders, lusting for plunder and wanton destruction. I must use these men and not allow them to sit idle for too long!
EVTOPTA20222	Great news indeed!	Great news indeed!
EVTDESC20224	The raiding party my [Root.GetMarshalName] gathered up to fight for me have grown tired of my effeminate pacifism and gone home to their wives, but not before picking up everything they could find of value!	The raiding party my [Root.GetMarshalName] gathered up to fight for me have grown tired of my effeminate pacifism and gone home to their wives, but not before picking up everything they could find of value!
EVTOPTA20224	Thieves! Uh, well...	Thieves! Uh, well...
CHRONICLE_PLAYER_INHERITANCE_NORMAL	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], succeeded to the throne of the [From.PrimaryTitle.GetTier] with a grand ceremony in [Root.Capital.Capital.GetName].	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], succeeded to the throne of the [From.PrimaryTitle.GetTier] with a grand ceremony in [Root.Capital.Capital.GetName].
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION	On [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].	On [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] succeeded to the throne of the [From.PrimaryTitle.GetTier] as [Root.GetTitledFirstName].	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] succeeded to the throne of the [From.PrimaryTitle.GetTier] as [Root.GetTitledFirstName].
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetSubjectPronounCap] was succeeded to the throne of the [From.PrimaryTitle.GetTier] by [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], a committed [Root.Religion.GetName] [Root.Religion.GetGroupName].	[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetSubjectPronounCap] was succeeded to the throne of the [From.PrimaryTitle.GetTier] by [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], a committed [Root.Religion.GetName] [Root.Religion.GetGroupName].
jewish_group	Israelite	Israelite
zoroastrian_group	Mazdan	Mazdan
indian_group	Dharman	Dharman
embargo_cb_desc	This Casus Belli allows you to destroy all of §Y$TARGET$§!'s Trade Posts in your entire Realm.	This Casus Belli allows you to destroy all of §Y$TARGET$§!'s Trade Posts in your entire Realm.
vice_royalty_desc	Emperors can grant kingdoms or duchies to vassals as Viceroyalties. Such grants are not inherited and will revert back to the emperor when the Viceroy dies - a handy way of staying below your Vassal Limit.	Emperors can grant kingdoms or duchies to vassals as Viceroyalties. Such grants are not inherited and will revert back to the emperor when the Viceroy dies - a handy way of staying below your Vassal Limit.
opinion_castrated_close_kin	Castrated Close Kin	Castrated Close Kin
opinion_blinded_close_kin	Blinded Close Kin	Blinded Close Kin
TITLE_USURPTION_TEMPORARY_TITLE	Neither temporary title holders nor their vassals can usurp any titles	Neither temporary title holders nor their vassals can usurp any titles
#EVTDESC107000	Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some lord or another. Crusader Kings II is a game about these lords, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...	Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some lord or another. Crusader Kings II is a game about these lords, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...
EVTDESC107001	You will play as a succession of characters from the same Dynasty, down the ages. In this Learning Scenario, you will be safe from attack and internal strife until your ruler turns 40 years old. When this happens, [Root.GetFirstName] will die (normally though, characters die of old age, disease or violence) and the Learning Scenario will end. When [Root.GetSubjectPronoun] dies, you can keep playing a normal game as [Root.GetPossPronoun] Heir. Feel free to navigate through the game as you wish, but note that if you do not follow the Learning Scenario instructions you might miss out on further help.	You will play as a succession of characters from the same Dynasty, down the ages. In this Learning Scenario, you will be safe from attack and internal strife until your ruler turns 40 years old. When this happens, [Root.GetFirstName] will die (normally though, characters die of old age, disease or violence) and the Learning Scenario will end. When [Root.GetSubjectPronoun] dies, you can keep playing a normal game as [Root.GetPossPronoun] Heir. Feel free to navigate through the game as you wish, but note that if you do not follow the Learning Scenario instructions you might miss out on further help.
