#CODE	ENGLISH	ENGLISH
tut_0a_15	Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.	Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.
tut_4a_8	If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.	If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.
#tut_5a_16	To the right you can see a tab named Fleets. Click that and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.	To the right you can see a tab named Fleets. Click that and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.
tut_5a_21	You have the organization bar, the disband unit button and the split (create new unit) button. Then you have information on the number of ships, and towards the bottom we have the load capacity. This is how many troops will fit on the ships in this fleet. Unfortunately this number is a smaller number than the number of men in your current army, so select the army again. 	You have the organization bar, the disband unit button and the split (create new unit) button. Then you have information on the number of ships, and towards the bottom we have the load capacity. This is how many troops will fit on the ships in this fleet. Unfortunately this number is a smaller number than the number of men in your current army, so select the army again. 
#tut_4a_4	To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. You will see two icons. The left one will take you to his character screen. The right one is for diplomacy actions though, so click that. (The portrait you see here is just an example, not the actual Earl.)	To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. You will see two icons. The left one will take you to his character screen. The right one is for diplomacy actions though, so click that. (The portrait you see here is just an example, not the actual Earl.)
#TRIBAL_VASSAL_CONTROL_ON	Gives total control over tribal vassal levies.\n	Gives total control over tribal vassal levies.\n
#TRIBAL_VASSAL_CONTROL_OFF	Tribal vassals will not provide levies and instead serve as your allies.\n	Tribal vassals will not provide levies and instead serve as your allies.\n
#enables_centralization_laws	Enables Centralization Laws for Dukes and above.	Enables Centralization Laws for Dukes and above.
#disables_centralization_laws	Disables Centralization Laws.	Disables Centralization Laws.
BAD_SERVER_PASSWORD	Invalid password, please try again.	Invalid password, please try again.
OBSERVE	Observe Game	Observe Game
EVTTOOLTIP91374A	[Root.Spouse.GetName] is asked to leave [From.GetName] alone.	[Root.Spouse.GetName] is asked to leave [From.GetName] alone.
EVTTOOLTIP91374B	[Root.Spouse.GetName] is informed about [From.GetName]s plans..	[Root.Spouse.GetName] is informed about [From.GetName]s plans..
LEARNING_SCENARIO	Learning Scenario	Learning Scenario
tb_steppe_barracks_1	Barracks	Barracks
tb_steppe_barracks_2	Barracks	Barracks
tb_steppe_barracks_3	Barracks	Barracks
tb_steppe_barracks_4	Barracks	Barracks
tb_steppe_stable_1	Stable	Stable
tb_steppe_stable_2	Stable	Stable
tb_steppe_stable_3	Stable	Stable
tb_steppe_stable_4	Stable	Stable
tb_arsenal_1	Weaponsmith	Weaponsmith
tb_arsenal_2	Weaponsmith	Weaponsmith
tb_arsenal_3	Weaponsmith	Weaponsmith
tb_arsenal_4	Weaponsmith	Weaponsmith
tb_hillfort_1_desc	A simple earthen hillfort will provide limited defence against our enemies.	A simple earthen hillfort will provide limited defence against our enemies.
tb_hillfort_2_desc	With wooden palisades our hillfort will provide even more defence.	With wooden palisades our hillfort will provide even more defence.
tb_hillfort_3_desc	Reinforcing our wooden palisades with stone will strengthen the fort.	Reinforcing our wooden palisades with stone will strengthen the fort.
tb_hillfort_4_desc	With the use of stone walls our hillfort will stand strong.	With the use of stone walls our hillfort will stand strong.
tb_market_town_1_desc	Establishing a permanent village in our settlement is essential in order to improve our trade.	Establishing a permanent village in our settlement is essential in order to improve our trade.
tb_market_town_2_desc	Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.	Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.
tb_market_town_3_desc	With some coin, the town will grow into a city with many traders and will improve our trade.	With some coin, the town will grow into a city with many traders and will improve our trade.
tb_market_town_4_desc	The city will grow large and hold many trade posts, as any trade centre ought to.	The city will grow large and hold many trade posts, as any trade centre ought to.
tb_market_town_1	Market Village	Market Village
tb_market_town_2	Market Town	Market Town
tb_market_town_3	Market City	Market City
tb_market_town_4	Large Market City	Large Market City
tb_arsenal_desc	This is where weapons are made, repaired and stored in preparation for war.	This is where weapons are made, repaired and stored in preparation for war.
tb_training_grounds_desc	Our militia assembles here to train and arm themselves.	Our militia assembles here to train and arm themselves.
tb_barracks_desc	This is where our strong men muster to join our army in times of war.	This is where our strong men muster to join our army in times of war.
tb_militia_barracks_desc	This is where our settlers readies for war.	This is where our settlers readies for war.
CB_NAME_DECADENCE_USURPTION	Decadence Usurption	Decadence Usurption
WAR_NAME_DECADENCE_USURPTION	$ORDER$$FIRST_ADJ$ Decadence Usurption	$ORDER$$FIRST_ADJ$ Decadence Usurption
cb_decadence_usurption_desc	Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.	Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.
tribal_organization_desc	Tribal Organization is the counterpart to the feudal Crown Authority laws. However, even highly organized tribes have low control over their vassals.	Tribal Organization is the counterpart to the feudal Crown Authority laws. However, even highly organized tribes have low control over their vassals.
tribal_organization_0_desc	With low organization chiefs have barely any control over their vassals.	With low organization chiefs have barely any control over their vassals.
tribal_organization_1_desc	Chiefs have limited power over their vassals.	Chiefs have limited power over their vassals.
tribal_organization_2_desc	The power of vassals and liege chiefs are somewhat balanced.	The power of vassals and liege chiefs are somewhat balanced.
tribal_organization_3_desc	Chiefs are gaining in power over their vassals.	Chiefs are gaining in power over their vassals.
tribal_organization_4_desc	Chiefs have control over their vassals, with laws similar to that of feudal lords.	Chiefs have control over their vassals, with laws similar to that of feudal lords.
#adopt_feudalism	Adopt Feudalism	Adopt Feudalism
adopt_republicanism	Found Merchant Republic	Found Merchant Republic
#adopt_feudalism_desc	I can choose to leave behind my tribal way of life and become a Feudal ruler.	I can choose to leave behind my tribal way of life and become a Feudal ruler.
#adopt_republicanism_desc	I can choose to leave behind my tribal way of life and found a Merchant Republic.	I can choose to leave behind my tribal way of life and found a Merchant Republic.
#adopt_feudalism_tooltip_1	Government changed to Feudal.\n	Government changed to Feudal.\n
#adopt_feudalism_tooltip_2	Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.	Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.
#adopt_republicanism_tooltip_1	Government changed to Merchant Republic.\n	Government changed to Merchant Republic.\n
#adopt_republicanism_tooltip_2	Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.	Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.
form_new_kingdom_requirement_tooltip	Hold 3 duchy titles\n	Hold 3 duchy titles\n
form_new_empire_requirement_tooltip	Hold 3 kingdom titles\n	Hold 3 kingdom titles\n
EVTDESC8027	For too long you have restricted our rights. The time has come to decrease the level of Tribal Organization - you must submit to this demand peacefully or face the consequences! Rest assured that I have the support of others who are equally determined to see things returned to the natural order...\n\nSigned,\n[From.GetTitledName]	For too long you have restricted our historic rights and liberties. The time has come to decrease the level of Tribal Organization - you must submit to this demand peacefully or face the consequences! Rest assured that I have the support of others who are equally determined to see things returned to the natural order...\n\nSigned,\n[From.GetTitledName]
AIREASON_ENVIOUS	Envious	Envious
FE_LOAD	Load	Load
PLAY	Play	Play
AIREASON_DOESNT_CARE	[GetTitledFirstName] doesn't care	[GetTitledFirstName] doesn't care
AIREASON_KIND	Kind	Kind
AIREASON_CRUEL	Cruel	Cruel
AIREASON_JUST	Just reason	Just reason
AIREASON_WROTH	Angry	Angry
#TRIBALS_CANT_BUILD_HOLDINGS	§YTribes Cannot Build new Holdings§!	§YTribes Cannot Build new Holdings§!
#TRIBALS_CANT_BUILD_HOLDINGS_DESC	Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.)	Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.)
vassal_zun_judgement_decision	Have [Root.GetTitledFirstName] judged by Zun	Have [Root.GetTitledFirstName] judged by Zun
vassal_zun_judgement_decision_desc	By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, [Root.GetSheHe] shall be exposed to Zun for days and will be most likely given the 'justice' that [Root.GetSheHe] deserves.	By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, he shall be exposed to Zun for days and will be most likely given the 'justice' that he deserves.
EVTDESCCM15002	The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.	The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.
EVTOPTACM15002	Oh sweet freedom!	Oh sweet freedom!
EVTDESCCM15004	The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.	The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.
EVTOPTACM15004	Is this how I die?	Is this how I die?
EVTDESCCM15005	Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!	Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!
EVTOPTACM15005	Was that a person leaning over the edge, or a figment of my imagination!	Was that a person leaning over the edge, or a figment of my imagination!
EVTDESCCM15006	As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.	As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.
EVTOPTACM15006	I will prove myself worthy to be [Root.Religion.GetHighGodName]'s servant.	It's a test from [God] I will show my faith, I will prove myself worthy to be a servant to [God].
EVTDESCCM15007	On my back, staring up at the sun beating down upon me. This pit is torture, the heat scratches my skin like a thousand tiny blades I hope for salvation, I hope for freedom, I hope that my captors will release me but deep down I'm starting to realise...	On my back, staring up at the sun beating down upon me. This pit is torture, the heat scratches my skin like a thousand tiny blades I hope for salvation, I hope for freedom, I hope that my captors will release me but deep down I'm starting to realise...
EVTOPTACM15007	The only one that can release me from this torture, from the unbearable heat is my new overlord Zun!	The only one that can release me from this torture, from the unbearable heat is my new overlord Zun!
CANNOT_PLAY_CHARLEMANGE_BOOKMARK_WITHOUT_DLC	Charlemagne DLC Required	Charlemagne DLC Required
CANNOT_PLAY_TOG_BOOKMARK_WITHOUT_DLC	The Old Gods DLC Required	The Old Gods DLC Required
frisian	Frisian	Frisian
tribal_duke_frisian	High Chief	High Chief
tribal_duke_female_frisian	High Chieftess	High Chieftess
tribal_duchy_of_frisian	High Chiefdom of	High Chiefdom of
viking_age_cb_tooltip	Characters of Germanic religion now get new Casus Bellis.	Characters of Germanic religion now get new CB:s.
tb_war_camp_1	War Camp	War Camp
tb_war_camp_2	War Camp	War Camp
tb_war_camp_3	War Camp	War Camp
tb_war_camp_4	War Camp	War Camp
tb_war_camp_desc	This is where the tribal warriors gather to hone their skills in preparation for times of war.	This is where the tribal warriors gather to hone their skills in preparation for times of war.
tb_practice_range_1	Practice Range	Practice Range
tb_practice_range_2	Practice Range	Practice Range
tb_practice_range_3	Practice Range	Practice Range
tb_practice_range_4	Practice Range	Practice Range
tb_practice_range_desc	The tribal archers meet here to compete and to practice their marksmanship skills.	The tribal archers meet here to compete and to practice their marksmanship skills.
d_pskov	Pskov	Pskov
d_kola	Kola	Kola
d_kola_adj	Kolan	Kolan
expel_zun_warriors	Expel the Knights of the Sun	Expel the Knights of the Sun
donate_money_to_zun_warriors	Donate 300¤ to the Knights of the Sun	Donate 300¤ to the Knights of the Sun
expel_zun_warriors_desc	I can drive the Knights of the Sun from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Knights of the Sun from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_zun_warriors_desc	I can donate money to the Knights of the Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Knights of the Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
d_haruriyyah	Haruriyyah	Haruriyyah
d_haruriyyah_adj	Haruriyyah	Haruriyyah
#expel_haruriyyah	Expel the Haruriyyah	Expel the Haruriyyah
donate_money_to_haruriyyah	Donate 300¤ to the Haruriyyah	Donate 300¤ to the Haruriyyah
#expel_haruriyyah_desc	I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_haruriyyah_desc	I can donate money to the Haruriyyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Haruriyyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
expelled_d_zun_warriors	Expelled the Knights of the Sun	Expelled the Knights of the Sun
expelled_d_haruriyyah	Expelled the Haruriyyah	Expelled the Haruriyyah
EVTDESC_CM_4399	Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Priesthood. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPraise [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName]	Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Priesthood. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPraise [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName]
EVTOPTA_CM_4399	Praised be [Root.Religion.GetRandomGodName].	Praised be [Root.Religion.GetRandomGodName].
OVERWRITE_HOLDING	Build a new Holding and destroy the tribal settlement	Build a new Holding and destroy the tribal settlement
borrowed_from_haruriyyah	Owes 300¤ to the Haruriyyah	Owes 300¤ to the Haruriyyah
EVTDESC_CM_4303	Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [FromFrom.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\n[From.GetTitledName]	Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [FromFrom.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\n[From.GetTitledName]
EVTTITLE_CM_4309	The Haruriyyah	The Haruriyyah
EVTDESC_CM_4309	A new order of Muslim warriors has been founded, claiming descent from the old Haruri traditions and swearing to protect Islam and combat infidels and polytheists of all kinds. It was a Haruri who killed the Caliph Ali with a poisoned sword since they saw him as corrupting Islam, and this new group now vows to show the same courage and detemination in fighting any enemies of the true faith. They call themselves simply 'The Haruriyyah'.	A new order of Muslim warriors has been founded, claiming descent from the old Haruri traditions and swearing to protect Islam and combat infidels and polytheists of all kinds. It was a Haruri who killed the Caliph Ali with a poisoned sword since they saw him as corrupting Islam, and this new group now vows to show the same courage and detemination in fighting any enemies of the true faith. They call themselves simply 'The Haruriyyah'.
EVTOPTA_CM_4309	I am sure we can make use of them.	I am sure we can make use of them.
EVTOPTB_CM_4309	Poisoned swords? Hmm...	Poisoned swords? Hmm...
EVTDESC_CM_4311	Most righteous [Root.GetTitledFirstName], of course we, the Haruriyyah, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\n[From.GetTitledName]	Most righteous [Root.GetTitledFirstName], of course we, the Haruriyyah, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\n[From.GetTitledName]
EVTDESC_CM_4323	Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [FromFrom.GetName]. Peace be with you,\n\n[From.GetTitledName]	Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [FromFrom.GetName]. Peace be with you,\n\n[From.GetTitledName]
EVTDESC_CM_4324	The Haruriyyah have constructed a castle in [Root.GetName]!	The Haruriyyah have constructed a castle in [Root.GetName]!
EVTDESC_CM_4331	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.
EVTDESC_CM_4353	Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\n[From.GetTitledName]	Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\n[From.GetTitledName]
OOS_DESC	§Y$PLAYER$§! is no longer in sync!\n$MESSAGE$	§Y$PLAYER$§! is no longer in sync!\n$MESSAGE$
TRIBAL_VIEW_ON_TRAIT	Tribal view on $TRAIT$: $VALUE$	Tribal view on $TRAIT$: $VALUE$
TRAIT_OPINION_TRIBAL	Tribal Opinion: $VALUE$	Tribal Opinion: $VALUE$
DONT_HAVE_A_X	Have a §Y$X$§!	Have a $X$
HAVE_A_X	Have a §Y$X$§!	Have a $X$
CHRONICLE_FILL0010	People in [Root.GetName] claimed to have seen two suns at the same time.	People in [Root.GetName] claimed to have seen two suns at the same time.
CHRONICLE_FILL0011	A goat with three heads was born in [Root.GetName].	A goat with three heads was born in [Root.GetName].
CHRONICLE_FILL0012	Tens of thousands of crows birds invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.	Tens of thousands of crows birds invaded [Root.GetName] just before the harvest, causing much damage to the farmers's fields.
CHRONICLE_FILL0013	An uncommonly great number of children were born this year in [Root.GetName].	An uncommonly great number of children were born this year in [Root.GetName].
CHRONICLE_FILL0014	In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].	In [Root.GetName], the people celebrated the benevolent rule of [From.GetTitledFirstName].
CHRONICLE_FILL0015	A star fell from the sky in [Root.GetName], killing three cows.	A star fell from the sky in [Root.GetName], killing three cows.
CHRONICLE_PLAYER_INHERITANCE_LANDLESS	On [GetDateText], [From.GetFirstName] lost [From.GetHerHis] titles, and it was decided to pass on the dynasty chronicles to [Root.GetTitledName].	On [GetDateText], [From.GetFirstName] lost [From.GetHerHis] titles, and it was decided to pass on the dynasty chronicles to [Root.GetTitledName].
CHRONICLE_WON_BATTLE_FOUGHT	[Root.GetTitledName] was victorious in the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].	[Root.GetTitledName] was victorious in the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].
CHRONICLE_LOST_BATTLE_FOUGHT	[Root.GetTitledName] lost the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].	[Root.GetTitledName] lost the battle of [Root.Location.GetName] against the army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledName].
CHRONICLE_WON_BATTLE_BUT_DIDNT_FIGHT	The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was victorious in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].	The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was victorious in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].
CHRONICLE_LOST_BATTLE_BUT_DIDNT_FIGHT	The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was defeated in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].	The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was defeated in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].
EVTOPTM96500	Master Winter Terrain.	Master Winter Terrain.
in_hiding_desc	This character has gone into hiding to avoid plots against [GetHerHis] life. It makes [GetHerHim] harder to assassinate, but life in hiding has its costs...	This character has gone into hiding to avoid plots against [GetHerHis] life. It makes [GetHerHim] harder to assassinate, but life in hiding has its costs...
INTERACTION_NOT_IN_HIDING	Target is not in hiding\n	Target is not in hiding
zun_judgement	Being Judged by Zun	Being Judged by Zun
IS_DYING	Is dying	Is dying
ISNT_DYING	Is not dying	Is not dying
LANDED_SIBLING_BONUS	Landed Sibling	Landed Sibling
LANDED_HALF_SIBLING_BONUS	Landed Half Sibling	Landed Half Sibling
LANDED_NIECE_BONUS	Landed Niece	Landed Niece
LANDED_CHILD_BONUS	Landed [Root.GetSonDaughter]	Landed [Root.GetSonDaughter]
LANDED_GRAND_CHILD_BONUS	Landed Grand [Root.GetSonDaughter]	Landed Grand [Root.GetSonDaughter]
LANDED_PARENT_BONUS	Landed [Root.GetFatherMother]	Landed [Root.GetFatherMother]
LANDED_UNCLE_AUNT_BONUS	Landed [Root.GetUncleAunt]	Landed [Root.GetUncleAunt]
LANDED_GRAND_PARENT_BONUS	Landed Grand Parent	Landed Grand Parent
LANDED_GREAT_GRAND_PARENT_BONUS	Landed Great Grand Parent	Landed Great Grand Parent
LANDED_COUSIN_BONUS	Landed Cousin	Landed Cousin
LIEGE_PRESTIGE	Prestige from vassals: §G+$VALUE$§!	Prestige from vassals: §G+$VALUE$§!
INTERACTION_TRIBAL_TITLE_ALLOWS_REVOKATION	The Tribal Organization of §Y$TITLE$§! allows Revocation	The Tribal Organization of §Y$TITLE$§! allows Revocation
CHRONICLE_FOUNDED_NEW_KINGDOM_OR_EMPIRE	[Root.GetDynName] displayed [Root.GetHerHis] great power by founding the new [Root.PrimaryTitle.GetFullName].	[Root.GetDynName] displayed [Root.GetHerHis] great power by founding the new [Root.PrimaryTitle.GetFullName].
CHRONICLE_FILL0016	[Root.PrimaryTitle.GetName] saw an unusually bountiful harvest this year.	[Root.PrimaryTitle.GetName] saw an unusually bountiful harvest this year.
#CHRONICLE_ADOPTED_FEUDALISM	[Root.GetDynName] adopted a feudal system in [Root.GetHerHis] domains, abandoning the old tribal ways.	[Root.GetDynName] adopted a feudal system in [Root.GetHerHis] domains, abandoning the old tribal ways.
#CHRONICLE_FOUNDED_MERCHANT_REPUBLIC	[Root.GetDynName] founded a merchant republic in [Root.GetHerHis] domains, abandoning the old tribal ways.	[Root.GetDynName] founded a merchant republic in [Root.GetHerHis] domains, abandoning the old tribal ways.
EVTDESC_CM_1160	One evening at court, your mother [Root.Mother.GetFirstName] takes to voicing very aggressive criticism of your [Root.Spouse.GetHusbandWife] in front of everyone. She says your [Root.Spouse.GetHusbandWife] doesn't know [Root.Spouse.GetHerHis] place and should be kept on a tighter leash. Your [Root.Spouse.GetHusbandWife] looks pleadingly at you for support...	One evening at court, your mother [Root.Mother.GetFirstName] takes to voicing very aggressive criticism of your [Root.Spouse.GetHusbandWife] in front of everyone. She says your [Root.Spouse.GetHusbandWife] doesn't know [Root.Spouse.GetHerHis] place and should be kept on a tighter leash. Your [Root.Spouse.GetHusbandWife] looks pleadingly at you for support...
EVTOPTA_CM_1160	Mother is right.	Mother is right.
EVTOPTB_CM_1160	Quiet, Mother. You are out of line.	Quiet, Mother. You are out of line.
EVTOPTC_CM_1160	I've had enough. It's the convent for you!	I've had enough. It's the convent for you!
EVTDESC_CM_1172	Your mother comes to see you. 'My [Root.GetSonDaughter], I am worried. Your [From.GetJobTitle], [From.GetTitledFirstName], doesn't seem to have our best interests in mind when executing the tasks of [From.GetHerHis] office. I fear [From.GetSheHe] may become a danger to your rule in the long run.'	Your mother comes to see you. 'My [Root.GetSonDaughter], I am worried. Your [From.GetJobTitle], [From.GetTitledFirstName], doesn't seem to have our best interests in mind when executing the tasks of [From.GetHerHis] office. I fear [From.GetSheHe] may become a danger to your rule in the long run.'
EVTOPTA_CM_1172	You are right, Mother. The [From.GetJobTitle] has to go.	You are right, Mother. The [From.GetJobTitle] has to go.
EVTOPTB_CM_1172	I will not get rid of [From.GetTitledFirstName].	I will not get rid of [From.GetTitledFirstName].
EVTOPTC_CM_1172	Enough of your meddling. It's the convent for you!	Enough of your meddling. It's the convent for you!
TRIBAL_VASSAL_TAX_MODIFIER	Tribal Vassal Tax	Tribal Vassal Tax
